ctx_a,ctx_b,ctx,endings,id,ind,activity_label,source_id,split,split_type,label
"[header] Cum să găuriți metalul [title] Alegeți bitul potrivit pentru muncă. [step] Bilele din oțel de înaltă viteză (HSS) vor funcționa pentru majoritatea tipurilor de metale, la fel ca și bilele de oțel carbon acoperite cu nitridă de titan (TIN). Pentru metale foarte dure, utilizați o bucată de oțel de cobalt.",,"[header] Cum să găuriți metalul [title] Alegeți bitul potrivit pentru muncă. [step] Bilele din oțel de înaltă viteză (HSS) vor funcționa pentru majoritatea tipurilor de metale, la fel ca și bilele de oțel carbon acoperite cu nitridă de titan (TIN). Pentru metale foarte dure, utilizați o bucată de oțel de cobalt.","['[title] Asigurați o piesă de metal liberă pe care doriți să o găuriți, prin prinderea ei la stația de lucru sau prin plasarea acesteia într-un menghină. [step] Această etapă nu este necesară dacă găuriți într-un obiect mare și greu din oțel, cum ar fi un perete sau un montant.', ' În caz contrar, utilizați o bucată de silicon sau de diamant, în funcție de varietatea pe care o utilizați. Bucata trebuie să fie discretă.', 'Pentru metale foarte moi, utilizați bucăți de oțel încinse. Dacă aveți de gând să găuriți oțel dur, alamă sau cauciuc, utilizați bucăți de oțel mecanice.', '[title] Găsiți o bună mașină de găurit și citiți instrucțiunile producătorului. [step] Veți găuri destul de asemănător cu o toartă.']",hellaswag/validation/9143,43627,Personal Care and Style,wikihow~71810,val,zeroshot,0
"[header] Cum să faci coafura french knot în mod ușor [title] Lucrează cu părul de a doua zi. [step] În timp ce unele coafuri pot funcționa cel mai bine cu păr proaspăt spălat, perfect curat, french knot funcționează cel mai bine cu părul ușor murdar. Când părul este imaculat de curat, este adesea mătăsos și greu de menținut în loc.",,"[header] Cum să faci coafura french knot în mod ușor [title] Lucrează cu părul de a doua zi. [step] În timp ce unele coafuri pot funcționa cel mai bine cu păr proaspăt spălat, perfect curat, french knot funcționează cel mai bine cu părul ușor murdar. Când părul este imaculat de curat, este adesea mătăsos și greu de menținut în loc.","['Prin urmare, este important să te asiguri că nu îți tragi părul pentru a crea efectul de puf înainte de a începe să îl coafezi. [substeps] În schimb, priorizează spălarea părului la sfârșitul fiecărei zile în loc să o faci doar când te trezești să te coafezi.', 'În timp ce părul satinat poate fi plăcut la atingere, acesta va aluneca din agrafele de păr și coafura nu se va menține pe parcursul întregii zile. Părul neșters timp de o zi sau două va fi plin de uleiuri naturale care te vor ajuta să creezi o formă care să dureze.', '[substeps] Pentru a începe, vei avea puțin păr în bucla french knot. Începe prin a scoate puțin păr din acel buclă.', 'Din acest motiv, coafura french knot va lăsa părul care a fost spălat în duș. [substeps] Coafurile french knot cu păr murdar nu vor funcționa de obicei cu părul care nu a fost spălat de o zi, deoarece vopseaua va fi absorbită de el și se va absorbi în părul ud.']",hellaswag/validation/5938,20017,Personal Care and Style,wikihow~33062,val,zeroshot,1
[header] Cum să creezi o comunitate [title] Află ce au nevoie oamenii. [step] Oamenii se alătură unei comunități dintr-un anumit motiv. Au nevoie de ceva ce este oferit de sprijinul social și de rețeaua găsite într-o comunitate.,,[header] Cum să creezi o comunitate [title] Află ce au nevoie oamenii. [step] Oamenii se alătură unei comunități dintr-un anumit motiv. Au nevoie de ceva ce este oferit de sprijinul social și de rețeaua găsite într-o comunitate.,"['Gândește-te la tipul de ajutor propriu pe care îl vei oferi și la obiectivele tale curente. [substeps] Încearcă să începi propria comunitate dacă ai fost membru al unui grup anterior funcțional.', '[substeps] Oamenii se găsesc adesea parte a unei comunități fără niciun motiv, în special în comunitățile individuale. [title] Descoperă ce caută comunitatea ta într-un nou membru.', '[substeps] Rezultatele comunităților care utilizează sprijinul social includ curățarea terenului, îmbunătățirea fluxului de trafic și restaurarea irigației sau a apei care este doar o mică parte din povestea unui joc, pentru a numi câteva. [title] Definește unde este implicat fiecare membru al comunității.', 'Dacă încerci să creezi o comunitate, gândește-te la ceea ce oamenii au nevoie și cum poți satisface aceste nevoi. [substeps] Unde încerci să creezi o comunitate? La locul de muncă? La școală? În cartierul tău? De ce au nevoie oamenii în aceste locuri și ce lipsește? Gândește-te la nișa care lipsește și pe care o comunitate ar putea să o ofere.']",hellaswag/validation/7478,31503,Computers and Electronics,wikihow~51945,val,indomain,3
"[header] Cum să vă relaxați mușchii [title] Încercați patch-uri de încălzire. [step] Aceste patch-uri funcționează pentru a reduce durerea, apoi o relaxează prin reducerea inflamației. Patch-urile de încălzire se vând fără prescripție medicală în majoritatea magazinelor și pot fi purtate atunci când este nevoie.",,"[header] Cum să vă relaxați mușchii [title] Încercați patch-uri de încălzire. [step] Aceste patch-uri funcționează pentru a reduce durerea, apoi o relaxează prin reducerea inflamației. Patch-urile de încălzire se vând fără prescripție medicală în majoritatea magazinelor și pot fi purtate atunci când este nevoie.","['Trebuie urmate instrucțiunile specifice de utilizare de pe ambalaj. [substeps] De asemenea, puteți încerca să utilizați o pernă electrică de încălzire.', '[substeps] Conectați o pernă de încălzire și plasați-o peste zona afectată a corpului. Căldura pernei de încălzire oferă aceleași beneficii ca și spălarea cu apă caldă și doar reduce tensiunea mușchilor, în loc să lase răni.', 'Cititi intotdeauna eticheta pentru a vă asigura că produsul este sigur pentru utilizarea pe o zonă sensibilă. [substeps] Presați un plic de ciocolată Hershey sau o lingură de ulei esențial de mentă în pielea dumneavoastră când sunt reci.', 'Patch-urile de încălzire stimulează vindecarea, ceea ce poate ajuta, de asemenea, la antrenarea mușchilor mai rapid. De asemenea, va oferi ameliorare în timp ce faceți exerciții fizice.']",hellaswag/validation/7856,34109,Health,wikihow~56178,val,indomain,0
"[header] Cum să obțineți mai multă energie [title] Mâncați micul dejun, chiar dacă nu vă este foame. [step] Probabil, micul dejun este cea mai importantă masă a zilei în ceea ce privește energia. Îți activează metabolismul și probabil este singura masă la care îți permiteți să te răsfățați.",,"[header] Cum să obțineți mai multă energie [title] Mâncați micul dejun, chiar dacă nu vă este foame. [step] Probabil, micul dejun este cea mai importantă masă a zilei în ceea ce privește energia. Îți activează metabolismul și probabil este singura masă la care îți permiteți să te răsfățați.","['Micul dejun vă pregătește pentru restul zilei. Cercetătorii au descoperit chiar că un mic dejun ușor dimineața este legat de cantități mai mici ale hormonului de stres, cortizol.', 'Încercați să luați micul dejun în câteva ore după ce ați mers la sală pentru că este un mic dejun foarte important. [substeps] Dimineața va fi, de obicei, momentul în care vă treziți.', 'O opțiune simplă pentru micul dejun este pâine integrală și fructe într-un bol, cu fructe de pădure și gem. Încercați să nu depășiți 7,400 de calorii pentru micul dejun în fiecare zi.', 'Aceasta vă permite să aveți energie pentru mai mult timp și să ardeți mai puține calorii decât în timpul prânzului. Dacă micul dejun nu este pe placul dumneavoastră, găsiți alte modalități de a vă energiza fără să fiți restricționat la dieta de dimineață.']",hellaswag/validation/6931,27319,Personal Care and Style,wikihow~45001,val,zeroshot,0
Se vede o persoană care aleargă pe un teren și aruncă o minge de baschet. Bărbatul este prezentat în mai multe clipuri alergând și marcând un coș.,bărbatul,Se vede o persoană care aleargă pe un teren și aruncă o minge de baschet. Bărbatul este prezentat în mai multe clipuri alergând și marcând un coș. bărbatul,"['continuă să arunce mingea de baschet din nou și din nou.', 'face mai multe exerciții înainte și își mișcă brațele în jurul camerei.', 'continuă să alerge și marchează câteva goluri.', 'zâmbește și ține un trofeu în sus arătându-și scorul de pe telefon.']",hellaswag/validation/2038,31323,Layup drill in basketball,activitynet~v_ERmsX91_7V4,val,zeroshot,0
"[header] Cum să ai păr moale [title] Spală-ți părul cu șampon. [step] Folosește apă caldă și adună o cantitate sănătoasă de spumă pentru a-ți spăla părul. Spălarea acestuia la fiecare câteva zile va elimina toate murdăriile, lăsându-l moale și ușor de manevrat.",,"[header] Cum să ai păr moale [title] Spală-ți părul cu șampon. [step] Folosește apă caldă și adună o cantitate sănătoasă de spumă pentru a-ți spăla părul. Spălarea acestuia la fiecare câteva zile va elimina toate murdăriile, lăsându-l moale și ușor de manevrat.","['Acest lucru va permite părului tău să înceapă să producă uleiuri naturale în loc să creeze șuvițe uscate și casante. [substeps] Dacă părul tău este foarte gros și/sau aspru, poate doriți să utilizați un șampon cu mazăre împărțită, dar puteți utiliza și un șampon de ras/de epilare dacă preferați.', '[substeps] Piaptănă-ți părul cu delicatețe înainte de a-ți clăti șamponul. Nu folosi o perie când părul tău este umed, dar folosește una după ce ai clătit șamponul.', 'Spală-ți părul de câte ori vrei. [substeps] Dacă părul tău este uscat, folosește un tratament cu ulei de arbore de ceai.', 'Adaugă un balsam hrănitor, cum ar fi uleiul de cocos sau uleiul de măsline, pentru a face părul mai mătăsos și mai strălucitor. [substeps] Nu este neapărat necesar să-ți uzi părul, dar te ajută să-ți menții părul strălucitor și moale când îți speli părul.']",hellaswag/validation/4866,12377,Personal Care and Style,wikihow~20436,val,zeroshot,1
[header] Cum să întâlnești femei după divorț [title] Nu te grăbi într-o relație. [step] Unele persoane au dificultăți în a fi singure după mulți ani de căsătorie. Nu lăsa dorința ta pentru un partener romantic să-ți nubleze judecata.,,[header] Cum să întâlnești femei după divorț [title] Nu te grăbi într-o relație. [step] Unele persoane au dificultăți în a fi singure după mulți ani de căsătorie. Nu lăsa dorința ta pentru un partener romantic să-ți nubleze judecata.,"['Angajează-te să ieși din relație dacă durează doar șase luni. Ideal, ar trebui să rămâi singur doar pentru o perioadă scurtă de timp - ideal doar 2 sau 3 luni, dacă este posibil.', 'Dacă simți că încă nu te-ai vindecat emoțional sau ești îndurerat de pierderea căsătoriei tale, ia-ți timp să lași durerea să se diminueze. [substeps] Dacă adesea îți găsești gândurile prea mult timp în trecutul relației sau în lucrurile pe care fosta ta soție le făcea, probabil nu ești pregătit pentru o nouă relație.', 'Dacă ești încă interesat de o relație după doi ani de căsnicie, este în regulă să deveniți pur și simplu prieteni și să începeți să vă întâlniți din nou fără un partener. Dar o relație romantică nu trebuie să se bazeze pe un singur partener.', '[substeps] Dacă tocmai ai realizat că ai un partener, distanțează-te de acea persoană pentru un an sau mai mult. Este în regulă să îți încrezi intuiția dacă crezi că sentimentele de atracție pentru cealaltă persoană sunt neutre.']",hellaswag/validation/6236,22200,Family Life,wikihow~36666,val,zeroshot,1
"[header] Cum să faci ceai din compostul de viermi [title] Umple un găleată de 5 galoni cu apă. [step] Folosește apă de ploaie sau lasă apa să stea pentru ca clorul să se evaporă. Nu vrei să-i omori pe microorganismele benefice, care este punctul clorului municipal.",,"[header] Cum să faci ceai din compostul de viermi [title] Umple un găleată de 5 galoni cu apă. [step] Folosește apă de ploaie sau lasă apa să stea pentru ca clorul să se evaporă. Nu vrei să-i omori pe microorganismele benefice, care este punctul clorului municipal.","['[substeps] Pentru cele mai multe țesături, veți folosi doar o găleată de 6 galoni goală. Acest lucru va permite apei să colecteze alți contaminanți.', '[title] Adaugă turbă pentru a umple găleata. [step] Lasă o găleată de 5 galoni să plutească în chiuveta ta până când se acumulează apă într-un recipient.', 'Folosirea unui izvor va accelera eliberarea ionilor de clor din apă, reducând timpul necesar pentru a sta în repaus. [title] Adaugă sirop de porumb sau melasă în apă.', '[title] Testează apa pentru echilibrul corect al pH-ului (pH-ul canabisului funcționează bine). [step] Utilizează pe plantele comune menționate în pașii de mai sus.']",hellaswag/validation/3406,1371,Home and Garden,wikihow~2246,val,indomain,2
"[header] Cum purtați un frac [title] Aflați dacă ""black tie"" vi se potrivește. [step] Fie că este pentru o nuntă, bal sau eveniment formal, fracul este un aspect clasic care emană stil. Fracul în forma sa cea mai de bază are linii simple, similare cu un costum obișnuit de bărbat, dar cu adăugarea benzilor de mătase pe partea exterioară a fiecărei piciorului de pantaloni.",,"[header] Cum purtați un frac [title] Aflați dacă ""black tie"" vi se potrivește. [step] Fie că este pentru o nuntă, bal sau eveniment formal, fracul este un aspect clasic care emană stil. Fracul în forma sa cea mai de bază are linii simple, similare cu un costum obișnuit de bărbat, dar cu adăugarea benzilor de mătase pe partea exterioară a fiecărei piciorului de pantaloni.","['Pentru un aspect mai elaborat, fracul este mai mult decât casual și formal, dar mai sofisticat și aproape feminin. [substeps] Nici formal, nici informal nu este cea mai bună alegere, deoarece acestea tind să contrasteze și să se ciocnească.', 'Reverurile de pe sacou sunt, de asemenea, adesea realizate din mătase, ajutând la conferirea unui aspect mai formal. [substeps] În Statele Unite contemporane, fracurile sunt considerate în general ""standardul de aur"" pentru îmbrăcămintea formală.', 'O selecție excelentă de culori luminoase și la modă este o alegere excelentă, deoarece pot adăuga suficientă culoare aspectului. [title] Documentați-vă cu privire la îmbrăcămintea de nuntă ""s""', 'Croșetarea largă peste o funie de costum tematică este foarte simplă și practică. Dacă alegeți un frac fără îmbrăcăminte masculină, s-ar putea să regretați că îl purtați din nou anul viitor.']",hellaswag/validation/4886,12473,Personal Care and Style,wikihow~20603,val,zeroshot,1
"[header] Cum să hrănești un porcușor de Guineea [title] Dă-i porcușorului tău de Guineea sângețel. [step] Porcușorii de Guineea adoră să consume sângețel! Au nevoie de el pentru sănătatea digestivă și dentară. Porcușorii de Guineea ar trebui să aibă acces nelimitat la sângețel, ceea ce înseamnă că cel mai probabil va trebui să reumpleți adesea o farfurie de dimensiuni mari de 3-5 ori pe zi.",,"[header] Cum să hrănești un porcușor de Guineea [title] Dă-i porcușorului tău de Guineea sângețel. [step] Porcușorii de Guineea adoră să consume sângețel! Au nevoie de el pentru sănătatea digestivă și dentară. Porcușorii de Guineea ar trebui să aibă acces nelimitat la sângețel, ceea ce înseamnă că cel mai probabil va trebui să reumpleți adesea o farfurie de dimensiuni mari de 3-5 ori pe zi.","['Cantitatea de sângețel pe care îl dai porcușorului tău ar trebui mereu să fie undeva între o farfurie supra-dimensionată și una goală. Nu uita să nu îi dai porcușorului tău sângețel dintr-o altă sursă decât sângețel din cânepă.', 'Sângețelul din timothy îi va hrăni bine, dar nu este la fel de nutritiv pe cât este sângețelul din magazinul local de hrană. [title] Cumpără boluri de hrănire cu paie pe fundul lor.', '[substeps] Combinați sângețelul din timothy cu sângețel de iarbă (100g sau 1/2 până la 1/4 cană) ori de câte ori este posibil. Sângețelul este o sursă excelentă de proteine \u200b\u200bsolide de care animalul tău de companie are nevoie.', '[substeps] Sângețelul de timothy este cel mai bun sângețel pentru toți porcușorii de Guineea în general. Vor mânca cu plăcere și se vor juca cu acesta, iar acesta este sănătos pentru porci de toate vârstele.']",hellaswag/validation/6289,22560,Pets and Animals,wikihow~37273,val,indomain,3
[header] Cum să angajați un instalator de plăci ceramice [title] Alegeți placa înainte de a angaja un instalator de plăci ceramice. [step] O placă mai mare sau un proiect care implică punerea într-un model a unor dimensiuni diferite de plăci va fi mai costisitor de instalat. [title] Întrebați prietenii și vecinii pentru o recomandare.,,[header] Cum să angajați un instalator de plăci ceramice [title] Alegeți placa înainte de a angaja un instalator de plăci ceramice. [step] O placă mai mare sau un proiect care implică punerea într-un model a unor dimensiuni diferite de plăci va fi mai costisitor de instalat. [title] Întrebați prietenii și vecinii pentru o recomandare.,"['[step] Sunați pe cineva pe care-l cunoașteți și care a avut instalat plăci recent și obțineți numele contractorului dacă a fost o experiență bună. Întrebați dacă puteți să vedeți calitatea lucrării cu plăci ceramice instalate.', '[step] Contactarea instalatorilor de plăci ceramice este deosebit de importantă dacă aveți un proiect mai mare cu mai multe plăci de adăugat în zona respectivă. Acest lucru vă poate ajuta să alegeți designul de plăci potrivit și să evitați taxele de instalare neașteptate.', '[step] Chiar și în cazul unei instalări de plăci ceramice programate, o persoană știe adesea un contractor fericit care poate plăti pentru o renovare de cameră care este puțin mai puțin costisitoare. Întrebați prietenii și vecinii dacă știu un alt potențial instalator de plăci ceramice care folosește un model similar.', '[step] Un contractor de construcții experimentat va fi capabil să vă spună dacă cunoaște un instalator de plăci ceramice pe care ar recomanda să-l angajați. [title] Faceți rețea cu noii solicitanți din zonă.']",hellaswag/validation/9582,46860,Home and Garden,wikihow~77093,val,indomain,0
Bărbatul este în sala de sport acoperită ridicând greutăți. Femeia merge în spatele bărbatului și îl privește.,femeia,Bărbatul este în sala de sport acoperită ridicând greutăți. Femeia merge în spatele bărbatului și îl privește. femeia,"['strânge bilele pe suportul din fața barei de greutate.', 'ridică greutăți în timp ce bărbatul stă să o privească.', 'face răsuciri mediocre pe podea.', 'ridică bara de greutate în locul bărbatului.']",hellaswag/validation/2794,42712,Snatch,activitynet~v_UtErhcCYBZk,val,indomain,1
[header] Cum se prepară spaghetele de dovlecel alfredo [title] Taiați dovlecelul în jumătate. [title] Scoateți semințele cu o lingură și curățați cum ați curăța o dovlec. [title] Întreaga bucată se fierbe în apă sărată clocotită pentru 20 de minute și se lasă să se răcească.,,[header] Cum se prepară spaghetele de dovlecel alfredo [title] Taiați dovlecelul în jumătate. [title] Scoateți semințele cu o lingură și curățați cum ați curăța o dovlec. [title] Întreaga bucată se fierbe în apă sărată clocotită pentru 20 de minute și se lasă să se răcească.,"['[substeps] (notă culinară: e mai bine să se lăse mai puțin timp la fiert dacă nu sunteți sigur) [title] Se scoate, se lasă să se scurgă și se răcește cu apă rece sau gheață pentru oprirea gătitului.', '[title] Se adaugă sos deasupra cu flacără mică, asigurându-vă că sosul nu fumegă. [title] Se scoate bucatile cu o lingură gaurită și se lasă să se scurgă restul sosului.', '[title] Se scurge apa, se lasă să se răcească la temperatura camerei și se adaugă 1 castravete englezesc copt. [title] Se adaugă două căței de usturoi în oală.', '[title] Se adaugă cealaltă jumătate de dovlecel și se amestecă. [title] Se adaugă ceapă verde și roșie cu o lingură de lemn.']",hellaswag/validation/3439,1629,Food and Entertaining,wikihow~2667,val,indomain,0
Un tânăr poartă căști și stă în fața unui microfon. El începe să cânte la vioară.,el,Un tânăr poartă căști și stă în fața unui microfon. El începe să cânte la vioară. el,"['își închide ochii și ascultă cum cântă.', 'continuă să cânte la instrument în timp ce se uită peste perete la public.', 'se uită spre public, unde sunt și alți câțiva care cântă la instrumentul său.', 'arată tehnica corectă de cântat pentru public.']",hellaswag/validation/2177,33165,Playing violin,activitynet~v__4CLYKFzmoY,val,zeroshot,0
Un bărbat este arătat lucrând într-o grădină de exterior.,el,Un bărbat este arătat lucrând într-o grădină de exterior. el,"['folosește unelte în timp ce lucrează.', 'folosește o unealtă mare pentru a decoji câteva frunze noi.', 'folosește găleți și lovește un copac.', 'folosește o burete și o găleată pentru a curăța partea laterală a unui copac.']",hellaswag/validation/805,11165,Trimming branches or hedges,activitynet~v_D5hsFA2ZrIQ,val,indomain,0
"[header] Cum să devii consilier de investiții financiare [title] Decidați dacă consilierea financiară vi se potrivește. [step] Lucrul ca consilier financiar poate fi recompensator, dar și provocator din cauza cantității de competențe necesare și a orelor lungi de lucru. Gândiți-vă la interesul pe care îl aveți în finanțe și investiții.",,"[header] Cum să devii consilier de investiții financiare [title] Decidați dacă consilierea financiară vi se potrivește. [step] Lucrul ca consilier financiar poate fi recompensator, dar și provocator din cauza cantității de competențe necesare și a orelor lungi de lucru. Gândiți-vă la interesul pe care îl aveți în finanțe și investiții.","['Decideți dacă această carieră vi se potrivește și dacă consilierea financiară ar putea fi mai potrivită pentru dumneavoastră. Aceasta este important deoarece sfaturile financiare pot fi mult mai ușor de spus decât de făcut.', 'Determinați dacă consilierea financiară vi se potrivește cel mai bine și unde ați dori să practicați. Mulți consilieri financiari sunt responsabili de sprijinul financiar al clienților lor.', 'Va trebui să găsiți tipul de poziție de înalt nivel de care aveți nevoie pentru a face un investiție mai bună. [substeps] Companiile sunt încrezătoare că se urcă pe scara corporativă.', 'Cu cât sunteți mai interesați de problemele financiare, cu atât veți fi mai eficient ca și consilier de investiții financiare. [substeps] A fi un consilier financiar de succes depinde foarte mult și de abilitatea dumneavoastră de a lucra cu oamenii.']",hellaswag/validation/6343,23030,Finance and Business,wikihow~38060,val,indomain,3
"Un bărbat în tricou negru a ridicat bara și a început să o ridice și să o coboare de câteva ori, în timp ce în spatele lui doi bărbați înlăturau plăcile metalice de pe o altă bară.",bărbatul în tricou negru,"Un bărbat în tricou negru a ridicat bara și a început să o ridice și să o coboare de câteva ori, în timp ce în spatele lui doi bărbați înlăturau plăcile metalice de pe o altă bară. bărbatul în tricou negru","['a îndepărtat placa și a ridicat bara, în timp ce oamenii care se aflau lângă el țineau capetele barei.', 'a început să ridice picioarele barei și să le coboare, în timp ce oamenii care se aflau la celelalte bare ridicau bara și apoi o coborau.', 'a ridicat bara și ceva din interiorul acesteia a căzut, iar celălalt bărbat s-a oprit și a luat obiectul și l-a dat bărbatului care încerca să-l ridice și i l-a dat.', 'a adăugat mai multă greutate pe bara adăugând plăcuțe galbene pe ambele părți, apoi a continuat să ridice greutăți.']",hellaswag/validation/342,4744,Snatch,activitynet~v_sgPkVKPp1dU,val,indomain,3
Unul sta în fața plasei și trece la celălalt cu bețele de lacrosse. Băieții continuă să-și treacă mingea înainte și înapoi unul altuia.,un băiat,Unul sta în fața plasei și trece la celălalt cu bețele de lacrosse. Băieții continuă să-și treacă mingea înainte și înapoi unul altuia. un băiat,"['marchează și apoi continuă să marcheze.', 'aruncă mingea în stradă, în timp ce celălalt aleargă după ea.', 'țin mingea, dar aceasta se apropie de marginea terenului și cade în iarbă.', 'face 105 salturi și exerciții de împins și devin rapizi din cutia cu nisip.']",hellaswag/validation/2820,43123,Playing lacrosse,activitynet~v_Z4OyG8ZzUpg,val,indomain,1
"[header] Cum să îți vopsești părul în tonuri juveliere [title] Achiziționează un set de vopsit. [step] Pentru a obține culoarea puternică și vibrantă necesară acestui aspect, trebuie să îți decolorezi părul de culoarea sa naturală. Vopseaua de ton juvelier se va suprapune peste culoarea ta existentă de păr, ceea ce înseamnă că va fi într-o culoare murdară sau întunecată în afara culorii albe sau foarte blonde.",,"[header] Cum să îți vopsești părul în tonuri juveliere [title] Achiziționează un set de vopsit. [step] Pentru a obține culoarea puternică și vibrantă necesară acestui aspect, trebuie să îți decolorezi părul de culoarea sa naturală. Vopseaua de ton juvelier se va suprapune peste culoarea ta existentă de păr, ceea ce înseamnă că va fi într-o culoare murdară sau întunecată în afara culorii albe sau foarte blonde.","['Poți găsi ușor un set de vopsit cu ingrediente naturale într-un salon de coafură sau îl poți descărca de pe internet. [substeps] Atenție, pot exista seturi care conțin substanțe chimice, chiar dacă sunt sigure pentru păr.', 'Poți achiziționa un set de decolorare din magazinul de produse de înfrumusețare local. Seturile de decolorare conțin pudră de decolorare, apă oxigenată, un bol de amestecare, o pensulă și mănuși din plastic.', 'Poți găsi seturi de vopsea la majoritatea magazinelor de produse cosmetice și online. [substeps] Deși există mereu vopsele en-gros pe piață, acestea pot fi destul de scumpe.', 'Achiziționează vopseaua după ce ți-ai decolorat deja părul. [substeps] În plus față de decolorarea culorii naturale a părului, îndepărtarea acesteia poate elimina permanent parte din culoarea părului natural și poate fi mai puțin vizibilă.']",hellaswag/validation/4367,8517,Personal Care and Style,wikihow~14023,val,zeroshot,1
Vedem o scenă de deschidere colorată. Copiii îmbrăcați în haine colorate merg pe scenă și se așează.,copiii,Vedem o scenă de deschidere colorată. Copiii îmbrăcați în haine colorate merg pe scenă și se așează. copiii,"['apoi încep să joace mingea-prizonierului.', 'urcă scările și dansează.', 'asteaptă și apoi o persoană își face un pedichiură.', 'prestează zumba pe o scenă.']",hellaswag/validation/1480,22155,Zumba,activitynet~v_N-6-MdxRg50,val,indomain,3
"Multe persoane apar într-o zonă mare, ieșind, plimbându-se și vorbind, iar cuvintele de pe ecran spun că festivalul inaugural de alergare la maratonul Omaha a început.",un grup mare de oameni,"Multe persoane apar într-o zonă mare, ieșind, plimbându-se și vorbind, iar cuvintele de pe ecran spun că festivalul inaugural de alergare la maratonul Omaha a început. un grup mare de oameni","['se află la punctul de start și încep să alerge prin diverse peisaje, în timp ce oamenii îi încurajează.', 'sunt văzuți pornind în galop, alergând și continuând să alerge.', 'sunt apoi arătați, urmați de mai mulți oameni pe marginea drumului, lângă platourile de gheață, care explică bluzele lor întunecate cu logo-ul Universității din Florida.', 'sunt apoi văzuți ridicându-se în aer, iar bărbații îmbrăcați în haine de genul celor pe care le-ai vedea în maratonul Chicago se plimbă în jurul lor.']",hellaswag/validation/1919,29719,Running a marathon,activitynet~v_p3PEMCN4h_g,val,zeroshot,0
"[header] Cum să pregătești tenul gras pentru machiaj [title] Spală-ți fața cu un cleanser delicat. [step] Secretul pentru a avea un aspect sănătos cu ajutorul machiajului este să te asiguri că paleta - adică fața ta - este curată. Folosește un cleanser delicat, cu pH echilibrat, pentru a îndepărta orice murdărie sau exces de ulei de pe pielea ta.",,"[header] Cum să pregătești tenul gras pentru machiaj [title] Spală-ți fața cu un cleanser delicat. [step] Secretul pentru a avea un aspect sănătos cu ajutorul machiajului este să te asiguri că paleta - adică fața ta - este curată. Folosește un cleanser delicat, cu pH echilibrat, pentru a îndepărta orice murdărie sau exces de ulei de pe pielea ta.","['[substeps] Dacă ai tenul gras, folosește un cleanser facial în loc de un produs de curățare a porilor. Deoarece produsele de curățare a porilor pot usca pielea, evită acea parte a feței tale.', '[substeps] Poți lua în considerare utilizarea unui cleanser gel, care este adesea delicat și nu conține exces de uleiuri care ar putea agrava problema tenului gras. Evită utilizarea produselor care sunt pline de substanțe chimice, care pot irita pielea și crește producția de uleiuri.', 'Niciodată nu folosi un cleanser cu acid salicilic, dar ar trebui să eviți și produsele de curățare facială obișnuite, care îți vor face pielea să arate grasă. [substeps] Caută produse care sunt 100% organice; ele nu numai că te vor feri de murdărie, dar au și proprietăți antimicrobiene.', 'Pune puțin ulei de jojoba într-un bol mare și umple-l cu apă caldă și puțin oțet de mere. Folosește vârfurile degetelor pentru a îndepărta ușor orice exces de zahăr.']",hellaswag/validation/6912,27210,Personal Care and Style,wikihow~44820,val,zeroshot,1
"[header] Cum să decideți ce piercing este cel mai potrivit pentru tine [title] Luați în considerare vizibilitatea piercing-ului. [step] Piercing-urile la urechi și la față sunt foarte vizibile, ceea ce poate provoca probleme la școală sau la locul de muncă pentru unele persoane. Dacă vă gândiți să vă faceți un piercing, asigurați-vă că nu va trebui să-l scoateți la școală sau la locul de muncă.",,"[header] Cum să decideți ce piercing este cel mai potrivit pentru tine [title] Luați în considerare vizibilitatea piercing-ului. [step] Piercing-urile la urechi și la față sunt foarte vizibile, ceea ce poate provoca probleme la școală sau la locul de muncă pentru unele persoane. Dacă vă gândiți să vă faceți un piercing, asigurați-vă că nu va trebui să-l scoateți la școală sau la locul de muncă.","['[substeps] Dacă sunteți hotărât să faceți unul, aveți în vedere să acoperiți piercing-ul între timp. Uneori, școlile permit acoperirea piercing-urilor cu un mic plasture în timpul vindecării.', '[substeps] Mascați-vă piercing-ul cu un inel pătrat sau cu alt obiect pe care majoritatea oamenilor nu-l vor remarca. Păstrarea piercing-ului ascuns poate ajuta la evitarea observării sale de către o gamă largă de persoane.', '[substeps] Piercing-urile făcute în persoană sunt mai eficiente deoarece se taie mai ușor pielea. Cu toate acestea, piercing-urile la urechi pot fi incomode pentru voi, cu excepția cazului în care sunteți siguri că nu o să vă apăra urechile.', '[substeps] Piercing-urile la urechi și la față sunt foarte vizibile. Deoarece sunt atât de vizibile, gândiți-vă la ce fel de imagini doriți să reprezinte piercing-ul vostru.']",hellaswag/validation/9441,45886,Personal Care and Style,wikihow~75542,val,zeroshot,0
